abstention_outcome,abstention_point,answerable,answered,citation_f1,citation_precision,citation_recall,correctness,difficulty,failure_mode,faithfulness,hallucinated_forbidden,key_fact_recall,latency_s,query_id,query_style,split
answered,answered,True,True,0.0,0.0,0.0,,media,numeric_threshold,,False,0.0,105.142474438,q0001,ciudadana,development
over_abstention,llm_decided,True,False,,,,,media,,,False,,58.293124082,q0002,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,dificil,,,False,,111.03530032,q0003,conceptual,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,facil,,,False,,92.737538871,q0004,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,facil,,,False,,101.335331505,q0005,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,media,negation_exception,,False,1.0,105.5060379,q0006,procedimental,development
answered,answered,True,True,1.0,1.0,1.0,,facil,,,False,,91.680766185,q0007,procedimental,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,facil,numeric_threshold,,False,1.0,53.759288207,q0008,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,facil,,,False,,92.517416021,q0009,procedimental,development
answered,answered,True,True,1.0,1.0,1.0,,media,,,False,,95.962632812,q0010,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,,False,,49.023345031,q0011,procedimental,development
answered,answered,True,True,1.0,1.0,1.0,,media,,,False,,40.15197249,q0012,conceptual,development
over_abstention,llm_decided,True,False,,,,,dificil,,,False,,47.132198321,q0013,conceptual,development
answered,answered,True,True,1.0,1.0,1.0,,media,,,False,1.0,63.524523863,q0014,conceptual,development
answered,answered,True,True,1.0,1.0,1.0,,facil,numeric_threshold,,False,1.0,47.279186293,q0015,ciudadana,development
over_abstention,llm_decided,True,False,,,,,facil,numeric_threshold,,False,,44.061467366,q0016,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,dificil,,,False,,103.328016135,q0017,conceptual,development
answered,answered,True,True,1.0,1.0,1.0,,dificil,cross_article,,False,1.0,62.761929745,q0018,comparativa,development
over_abstention,llm_decided,True,False,,,,,media,false_premise,,False,,32.316086684,q0019,ciudadana,development
correct_abstention,llm_decided,False,False,,,,,dificil,in_corpus_unanswerable,,False,,41.445205998,q0020,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,facil,,,False,,70.330342541,q0021,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,,False,,218.636706052,q0022,procedimental,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,media,,,False,1.0,67.575240848,q0023,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,media,,,False,,120.985912756,q0024,procedimental,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,media,,,False,,112.366845627,q0025,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,media,,,False,,86.844132346,q0026,conceptual,development
answered,answered,True,True,1.0,1.0,1.0,,facil,,,False,1.0,49.193330081,q0027,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,,False,,149.631672349,q0028,conceptual,development
answered,answered,True,True,1.0,1.0,1.0,,media,negation_exception,,False,,126.898569169,q0029,procedimental,development
answered,answered,True,True,1.0,1.0,1.0,,facil,numeric_threshold,,False,1.0,79.875728905,q0030,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,,False,,78.056172914,q0031,procedimental,development
over_abstention,llm_decided,True,False,,,,,dificil,cross_norm,,False,,56.361561422,q0032,comparativa,development
answered,answered,True,True,1.0,1.0,1.0,,facil,,,False,,96.444167216,q0033,ciudadana,development
answered,answered,True,True,0.0,0.0,0.0,,media,,,False,,98.235833782,q0034,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,,False,,114.676269706,q0035,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,,False,1.0,240.721216784,q0036,conceptual,development
answered,answered,True,True,1.0,1.0,1.0,,media,,,False,,74.918011554,q0037,ciudadana,development
over_abstention,llm_decided,True,False,,,,,facil,lexical_term,,False,,64.032681843,q0038,lexica,development
over_abstention,llm_decided,True,False,,,,,dificil,disambiguation,,False,,60.545112448,q0039,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,,False,,113.181711708,q0040,procedimental,development
