abstention_outcome,abstention_point,answerable,answered,citation_f1,citation_precision,citation_recall,correctness,difficulty,failure_mode,faithfulness,hallucinated_forbidden,key_fact_recall,latency_s,query_id,query_style,split
answered,answered,True,True,0.0,0.0,0.0,,media,numeric_threshold,1.0,False,0.0,89.924281294,q0001,ciudadana,development
over_abstention,llm_decided,True,False,,,,,media,,,False,,66.287314359,q0002,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,dificil,,1.0,False,1.0,124.198768907,q0003,conceptual,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,facil,,1.0,False,,78.713470657,q0004,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,facil,,1.0,False,,119.037871406,q0005,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,media,negation_exception,1.0,False,1.0,120.580812053,q0006,procedimental,development
answered,answered,True,True,1.0,1.0,1.0,,facil,,1.0,False,,84.25321634,q0007,procedimental,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,facil,numeric_threshold,1.0,False,1.0,34.023938427,q0008,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,facil,,1.0,False,,78.017155806,q0009,procedimental,development
answered,answered,True,True,1.0,1.0,1.0,,media,,1.0,False,,78.027901753,q0010,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,1.0,False,,38.378888159,q0011,procedimental,development
answered,answered,True,True,1.0,1.0,1.0,,media,,1.0,False,,35.224800694,q0012,conceptual,development
over_abstention,llm_decided,True,False,,,,,dificil,,,False,,30.779196556,q0013,conceptual,development
answered,answered,True,True,1.0,1.0,1.0,,media,,1.0,False,1.0,66.376908908,q0014,conceptual,development
answered,answered,True,True,1.0,1.0,1.0,,facil,numeric_threshold,1.0,False,1.0,50.539929589,q0015,ciudadana,development
over_abstention,llm_decided,True,False,,,,,facil,numeric_threshold,,False,,43.536715186,q0016,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,dificil,,1.0,False,,80.891397703,q0017,conceptual,development
answered,answered,True,True,1.0,1.0,1.0,,dificil,cross_article,1.0,False,1.0,62.029033777,q0018,comparativa,development
over_abstention,llm_decided,True,False,,,,,media,false_premise,,False,,37.49353206,q0019,ciudadana,development
correct_abstention,llm_decided,False,False,,,,,dificil,in_corpus_unanswerable,,False,,44.986498586,q0020,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,facil,,1.0,False,,53.390860189,q0021,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,media,,1.0,False,,247.351869943,q0022,procedimental,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,media,,1.0,False,1.0,61.169818433,q0023,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,media,,1.0,False,,97.881368455,q0024,procedimental,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,media,,1.0,False,,78.948012311,q0025,ciudadana,development
answered,answered,True,True,0.6666666666666666,0.5,1.0,,media,,1.0,False,,66.005304082,q0026,conceptual,development
answered,answered,True,True,1.0,1.0,1.0,,facil,,1.0,False,1.0,48.975218058,q0027,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,1.0,False,,164.224097339,q0028,conceptual,development
answered,answered,True,True,1.0,1.0,1.0,,media,negation_exception,1.0,False,,137.206838986,q0029,procedimental,development
answered,answered,True,True,1.0,1.0,1.0,,facil,numeric_threshold,1.0,False,1.0,80.739389183,q0030,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,1.0,False,,79.385201177,q0031,procedimental,development
over_abstention,llm_decided,True,False,,,,,dificil,cross_norm,,False,,60.688730031,q0032,comparativa,development
answered,answered,True,True,1.0,1.0,1.0,,facil,,0.75,False,,77.03009886,q0033,ciudadana,development
answered,answered,True,True,0.0,0.0,0.0,,media,,1.0,False,,106.713571714,q0034,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,1.0,False,,123.025082424,q0035,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,1.0,False,1.0,260.019267992,q0036,conceptual,development
answered,answered,True,True,1.0,1.0,1.0,,media,,1.0,False,,81.398900934,q0037,ciudadana,development
over_abstention,llm_decided,True,False,,,,,facil,lexical_term,,False,,73.343919329,q0038,lexica,development
over_abstention,llm_decided,True,False,,,,,dificil,disambiguation,,False,,57.559976012,q0039,ciudadana,development
answered,answered,True,True,1.0,1.0,1.0,,media,,1.0,False,,118.153877361,q0040,procedimental,development
